year,stateabbr,state,county,measure,data_value,low_confidence_limit,high_confidence_limit
2023,AK,Alaska,Anchorage,Chronic obstructive pulmonary disease among adults,4.4,3.6,5.3
2023,AK,Alaska,Anchorage,Utility services shut-off threat in the past 12 months among adults,8.3,7.2,9.6
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,25.3,22.4,28.3
2023,AK,Alaska,Anchorage,Visits to doctor for routine checkup within the past year among adults,70.2,67.3,73.3
2023,AK,Alaska,Anchorage,Cognitive disability among adults,12.5,10.8,14.4
2023,AK,Alaska,Anchorage,Hearing disability among adults,9.5,8.5,10.6
2023,AK,Alaska,Anchorage,Diagnosed diabetes among adults,12.9,11.6,14.5
2023,AK,Alaska,Anchorage,Current lack of health insurance among adults aged 18-64 years,9.7,8.1,11.7
2023,AK,Alaska,Anchorage,Depression among adults,22.1,19.7,25.0
2023,AK,Alaska,Anchorage,Loneliness among adults,28.7,25.5,32.1
2023,AK,Alaska,Anchorage,Chronic obstructive pulmonary disease among adults,6.4,5.6,7.5
2023,AK,Alaska,Anchorage,Coronary heart disease among adults,4.5,3.9,5.1
2023,AK,Alaska,Anchorage,Current cigarette smoking among adults,12.6,10.7,14.6
2023,AK,Alaska,Anchorage,Lack of reliable transportation in the past 12 months among adults,5.5,4.5,6.5
2023,AK,Alaska,Anchorage,Any disability among adults,22.1,19.0,25.6
2023,AK,Alaska,Anchorage,Utility services shut-off threat in the past 12 months among adults,6.8,5.8,8.0
2023,AK,Alaska,Anchorage,Food insecurity in the past 12 months among adults,15.0,12.4,18.1
2023,AK,Alaska,Anchorage,Loneliness among adults,30.3,26.9,33.7
2023,AK,Alaska,Anchorage,Food insecurity in the past 12 months among adults,7.4,5.8,9.0
2023,AK,Alaska,Anchorage,Current asthma among adults,11.4,10.2,12.7
2023,AK,Alaska,Anchorage,Current cigarette smoking among adults,13.4,11.1,16.1
2023,AK,Alaska,Anchorage,Current asthma among adults,10.7,9.7,12.0
2023,AK,Alaska,Anchorage,Depression among adults,22.5,20.1,25.2
2023,AK,Alaska,Anchorage,Cholesterol screening among adults,79.4,77.2,81.7
2023,AK,Alaska,Anchorage,Taking medicine to control high blood pressure among adults with high blood pressure,65.2,62.2,68.6
2023,AK,Alaska,Anchorage,Coronary heart disease among adults,4.5,4.0,5.0
2023,AK,Alaska,Anchorage,Cognitive disability among adults,14.1,12.1,16.0
2023,AK,Alaska,Anchorage,Mobility disability among adults,16.7,14.8,18.9
2023,AK,Alaska,Anchorage,High blood pressure among adults,34.5,31.6,37.6
2023,AK,Alaska,Anchorage,Coronary heart disease among adults,4.9,4.3,5.6
2023,AK,Alaska,Anchorage,Current lack of health insurance among adults aged 18-64 years,6.1,5.1,7.2
2023,AK,Alaska,Anchorage,High blood pressure among adults,35.2,32.6,38.2
2023,AK,Alaska,Anchorage,Fair or poor self-rated health status among adults,15.8,14.0,18.1
2023,AK,Alaska,Anchorage,Independent living disability among adults,5.1,4.3,6.1
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,20.9,18.1,24.0
2023,AK,Alaska,Anchorage,Housing insecurity in the past 12 months among adults,8.0,6.4,9.6
2023,AK,Alaska,Anchorage,Current lack of health insurance among adults aged 18-64 years,12.1,10.0,14.5
2023,AK,Alaska,Anchorage,Cholesterol screening among adults,81.8,79.6,84.2
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,12.4,10.9,14.2
2023,AK,Alaska,Anchorage,Chronic obstructive pulmonary disease among adults,4.9,4.3,5.7
2023,AK,Alaska,Anchorage,Visits to doctor for routine checkup within the past year among adults,70.8,67.8,74.0
2023,AK,Alaska,Anchorage,Cholesterol screening among adults,79.3,76.8,81.7
2023,AK,Alaska,Anchorage,Food insecurity in the past 12 months among adults,21.2,17.9,24.7
2023,AK,Alaska,Anchorage,Current lack of health insurance among adults aged 18-64 years,8.8,7.3,10.5
2023,AK,Alaska,Anchorage,Utility services shut-off threat in the past 12 months among adults,5.3,4.3,6.4
2023,AK,Alaska,Anchorage,Housing insecurity in the past 12 months among adults,30.4,27.5,33.3
2023,AK,Alaska,Anchorage,Loneliness among adults,35.3,31.9,39.0
2023,AK,Alaska,Anchorage,Any disability among adults,24.7,22.0,27.7
2023,AK,Alaska,Anchorage,High cholesterol among adults who have ever been screened,30.8,28.3,33.6
2023,AK,Alaska,Anchorage,Received food stamps in the past 12 months among adults,5.6,4.3,7.3
2023,AK,Alaska,Anchorage,Housing insecurity in the past 12 months among adults,12.2,10.1,14.6
2023,AK,Alaska,Anchorage,Current cigarette smoking among adults,16.1,13.7,18.6
2023,AK,Alaska,Anchorage,Loneliness among adults,32.5,29.2,35.6
2023,AK,Alaska,Anchorage,High blood pressure among adults,33.5,30.9,36.4
