date,respondent,respondent_name,type,type_name,value,unit
2021-10-05,CAL,California,TI,Total interchange,-176605,megawatthours
2021-10-06,CAL,California,D,Demand,750570,megawatthours
2021-10-06,CAL,California,D,Demand,751731,megawatthours
2021-10-06,CAL,California,D,Demand,753249,megawatthours
2021-10-06,CAL,California,D,Demand,750934,megawatthours
2021-10-06,CAL,California,D,Demand,750570,megawatthours
2021-10-06,CAL,California,DF,Day-ahead demand forecast,729924,megawatthours
2021-10-06,CAL,California,DF,Day-ahead demand forecast,732562,megawatthours
2021-10-06,CAL,California,DF,Day-ahead demand forecast,734258,megawatthours
2021-10-06,CAL,California,DF,Day-ahead demand forecast,731082,megawatthours
2021-10-06,CAL,California,DF,Day-ahead demand forecast,729924,megawatthours
2021-10-06,CAL,California,NG,Net generation,572032,megawatthours
2021-10-06,CAL,California,NG,Net generation,574302,megawatthours
2021-10-06,CAL,California,NG,Net generation,574944,megawatthours
2021-10-06,CAL,California,NG,Net generation,573255,megawatthours
2021-10-06,CAL,California,NG,Net generation,572032,megawatthours
2021-10-06,CAL,California,TI,Total interchange,-164200,megawatthours
2021-10-06,CAL,California,TI,Total interchange,-163963,megawatthours
2021-10-06,CAL,California,TI,Total interchange,-165064,megawatthours
2021-10-06,CAL,California,TI,Total interchange,-163799,megawatthours
2021-10-06,CAL,California,TI,Total interchange,-164200,megawatthours
2021-10-07,CAL,California,D,Demand,732257,megawatthours
2021-10-07,CAL,California,D,Demand,734589,megawatthours
2021-10-07,CAL,California,D,Demand,735815,megawatthours
2021-10-07,CAL,California,D,Demand,733216,megawatthours
2021-10-07,CAL,California,D,Demand,732257,megawatthours
2021-10-07,CAL,California,DF,Day-ahead demand forecast,722218,megawatthours
2021-10-07,CAL,California,DF,Day-ahead demand forecast,721967,megawatthours
2021-10-07,CAL,California,DF,Day-ahead demand forecast,722102,megawatthours
2021-10-07,CAL,California,DF,Day-ahead demand forecast,722046,megawatthours
2021-10-07,CAL,California,DF,Day-ahead demand forecast,722218,megawatthours
2021-10-07,CAL,California,NG,Net generation,567709,megawatthours
2021-10-07,CAL,California,NG,Net generation,568026,megawatthours
2021-10-07,CAL,California,NG,Net generation,568437,megawatthours
