date,base,quote,rate
2022-02-25,USD,KRW,1200.46
2022-02-28,USD,KRW,1203.34
2022-03-01,USD,KRW,1202.83
2022-03-02,USD,KRW,1205.65
2022-03-03,USD,KRW,1204.59
2022-03-04,USD,KRW,1218.99
2022-03-07,USD,KRW,1228.5
2022-03-08,USD,KRW,1234.59
2022-03-09,USD,KRW,1234.49
2022-03-10,USD,KRW,1227.43
2022-03-11,USD,KRW,1232.07
2022-03-14,USD,KRW,1238.84
2022-03-15,USD,KRW,1242.88
2022-03-16,USD,KRW,1231.37
2022-03-17,USD,KRW,1212.58
2022-03-18,USD,KRW,1214.85
2022-03-21,USD,KRW,1216.36
2022-03-22,USD,KRW,1218.99
2022-03-23,USD,KRW,1217.81
2022-03-24,USD,KRW,1222.93
2022-03-25,USD,KRW,1220.98
2022-03-28,USD,KRW,1224.23
2022-03-29,USD,KRW,1213.91
2022-03-30,USD,KRW,1210.65
2022-03-31,USD,KRW,1213.74
2022-04-01,USD,KRW,1217.53
2022-04-04,USD,KRW,1216.18
2022-04-05,USD,KRW,1213.25
2022-04-06,USD,KRW,1218.02
2022-04-07,USD,KRW,1219.24
2022-04-08,USD,KRW,1227.44
2022-04-11,USD,KRW,1234.16
2022-04-12,USD,KRW,1229.62
2022-04-13,USD,KRW,1227.11
2022-04-14,USD,KRW,1226.98
2022-04-19,USD,KRW,1239.9
2022-04-20,USD,KRW,1235.36
2022-04-21,USD,KRW,1238.48
2022-04-22,USD,KRW,1242.53
2022-04-25,USD,KRW,1251.15
2022-04-26,USD,KRW,1255.41
2022-04-27,USD,KRW,1268.05
2022-04-28,USD,KRW,1275.94
2022-04-29,USD,KRW,1258.74
2022-05-02,USD,KRW,1267.3
2022-05-03,USD,KRW,1265.29
2022-05-04,USD,KRW,1264.31
2022-05-05,USD,KRW,1259.36
2022-05-06,USD,KRW,1271.43
2022-05-09,USD,KRW,1274.25
2022-05-10,USD,KRW,1275.88
2022-05-11,USD,KRW,1273.56
2022-05-12,USD,KRW,1289.37
2022-05-13,USD,KRW,1281.49
2022-05-16,USD,KRW,1283.73
2022-05-17,USD,KRW,1265.21
2022-05-18,USD,KRW,1266.52
2022-05-19,USD,KRW,1276.21
2022-05-20,USD,KRW,1267.45
2022-05-23,USD,KRW,1261.08
2022-05-24,USD,KRW,1262.73
2022-05-25,USD,KRW,1271.22
2022-05-26,USD,KRW,1264.55
2022-05-27,USD,KRW,1253.15
2022-05-30,USD,KRW,1237.14
2022-05-31,USD,KRW,1240.85
2022-06-01,USD,KRW,1242.94
2022-06-02,USD,KRW,1247.72
2022-06-03,USD,KRW,1246.41
2022-06-06,USD,KRW,1250.35
2022-06-07,USD,KRW,1257.5
2022-06-08,USD,KRW,1256.49
2022-06-09,USD,KRW,1255.69
2022-06-10,USD,KRW,1270.8
2022-06-13,USD,KRW,1291.18
2022-06-14,USD,KRW,1288.48
2022-06-15,USD,KRW,1291.21
2022-06-16,USD,KRW,1295.08
2022-06-17,USD,KRW,1293.41
2022-06-20,USD,KRW,1290.81
2022-06-21,USD,KRW,1293.92
2022-06-22,USD,KRW,1301.48
2022-06-23,USD,KRW,1302.97
2022-06-24,USD,KRW,1296.17
2022-06-27,USD,KRW,1284.22
2022-06-28,USD,KRW,1289.41
2022-06-29,USD,KRW,1296.97
2022-06-30,USD,KRW,1301.24
2022-07-01,USD,KRW,1297.44
2022-07-04,USD,KRW,1294.5
2022-07-05,USD,KRW,1310.95
2022-07-06,USD,KRW,1308.53
2022-07-07,USD,KRW,1301.24
2022-07-08,USD,KRW,1300.41
2022-07-11,USD,KRW,1307.55
