location,latitude,longitude,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max
Seoul,37.57469,126.96,2025-07-28,36.8,27.6,31.9,0.0,10.1
Seoul,37.57469,126.96,2025-07-29,38.5,27.6,32.5,1.3,8.6
Seoul,37.57469,126.96,2025-07-30,38.0,27.8,32.2,0.0,11.3
Seoul,37.57469,126.96,2025-07-31,35.7,28.1,31.7,0.0,9.6
Seoul,37.57469,126.96,2025-08-01,36.3,27.0,31.3,0.1,9.8
Seoul,37.57469,126.96,2025-08-02,36.2,26.9,31.2,0.0,11.8
Seoul,37.57469,126.96,2025-08-03,33.3,25.5,30.0,0.7,14.4
Seoul,37.57469,126.96,2025-08-04,32.3,22.2,26.9,4.5,13.2
Seoul,37.57469,126.96,2025-08-05,30.6,23.8,27.0,0.0,13.0
Seoul,37.57469,126.96,2025-08-06,28.9,24.5,25.8,13.0,17.3
Seoul,37.57469,126.96,2025-08-07,30.0,22.6,26.3,0.8,11.7
Seoul,37.57469,126.96,2025-08-08,29.6,21.6,25.6,0.3,7.8
Seoul,37.57469,126.96,2025-08-09,26.3,22.7,24.3,5.2,7.1
Seoul,37.57469,126.96,2025-08-10,30.4,20.9,25.6,0.0,7.7
Seoul,37.57469,126.96,2025-08-11,28.1,23.4,25.4,0.2,7.3
Seoul,37.57469,126.96,2025-08-12,32.0,21.8,26.6,0.0,10.9
Seoul,37.57469,126.96,2025-08-13,27.2,22.9,24.7,51.9,18.2
Seoul,37.57469,126.96,2025-08-14,27.4,23.1,24.9,36.3,13.1
Seoul,37.57469,126.96,2025-08-15,30.0,23.5,26.4,1.3,12.5
Seoul,37.57469,126.96,2025-08-16,30.6,24.5,26.9,0.3,14.0
Seoul,37.57469,126.96,2025-08-17,30.2,23.8,26.6,1.1,11.4
Seoul,37.57469,126.96,2025-08-18,30.7,24.5,27.2,1.1,15.7
Seoul,37.57469,126.96,2025-08-19,30.4,25.4,27.4,1.9,16.1
Seoul,37.57469,126.96,2025-08-20,30.9,24.5,27.4,3.5,12.2
Seoul,37.57469,126.96,2025-08-21,32.0,25.5,28.2,0.6,8.7
Seoul,37.57469,126.96,2025-08-22,32.1,24.8,28.1,0.0,12.6
Seoul,37.57469,126.96,2025-08-23,33.3,25.0,29.0,0.9,10.6
Seoul,37.57469,126.96,2025-08-24,35.2,25.8,30.0,0.4,10.2
Seoul,37.57469,126.96,2025-08-25,33.0,24.8,28.5,19.0,14.0
Seoul,37.57469,126.96,2025-08-26,29.5,23.5,25.9,13.9,15.1
Seoul,37.57469,126.96,2025-08-27,30.4,22.2,25.8,0.0,8.8
Seoul,37.57469,126.96,2025-08-28,30.1,23.9,26.5,1.4,11.8
Seoul,37.57469,126.96,2025-08-29,30.5,23.8,27.1,31.5,17.3
Seoul,37.57469,126.96,2025-08-30,31.0,23.5,26.8,7.7,10.0
Seoul,37.57469,126.96,2025-08-31,29.8,24.1,26.4,7.1,11.5
