date,gamePk,gameDate,season,gameType,status,away_team,home_team,away_score,home_score
2022-04-19,663196,2022-04-19T23:40:00Z,2022,R,Final,Tampa Bay Rays,Chicago Cubs,6,5
2022-04-19,661211,2022-04-19T23:40:00Z,2022,R,Final,Pittsburgh Pirates,Milwaukee Brewers,2,5
2022-04-19,662927,2022-04-20T00:10:00Z,2022,R,Final,Los Angeles Angels,Houston Astros,7,2
2022-04-19,662753,2022-04-20T00:10:00Z,2022,R,Final,Minnesota Twins,Kansas City Royals,3,4
2022-04-19,662925,2022-04-20T00:40:00Z,2022,R,Final,Philadelphia Phillies,Colorado Rockies,5,6
2022-04-19,662406,2022-04-20T01:40:00Z,2022,R,Final,Baltimore Orioles,Oakland Athletics,1,2
2022-04-19,662232,2022-04-20T01:40:00Z,2022,R,Final,Cincinnati Reds,San Diego Padres,2,6
2022-04-19,662161,2022-04-20T01:40:00Z,2022,R,Final,Texas Rangers,Seattle Mariners,2,6
2022-04-19,662717,2022-04-20T02:10:00Z,2022,R,Final,Atlanta Braves,Los Angeles Dodgers,3,1
2022-04-19,663075,2022-04-19T22:10:00Z,2022,R,Postponed,Chicago White Sox,Cleveland Guardians,,
2022-04-20,661203,2022-04-20T17:40:00Z,2022,R,Final,Pittsburgh Pirates,Milwaukee Brewers,2,4
2022-04-20,663094,2022-04-20T18:10:00Z,2022,R,Final,Chicago White Sox,Cleveland Guardians,1,11
2022-04-20,663075,2022-04-20T18:15:00Z,2022,R,Final,Chicago White Sox,Cleveland Guardians,1,2
2022-04-20,662924,2022-04-20T19:10:00Z,2022,R,Final,Philadelphia Phillies,Colorado Rockies,9,6
2022-04-20,662734,2022-04-20T19:10:00Z,2022,R,Final,Atlanta Braves,Los Angeles Dodgers,1,5
2022-04-20,662231,2022-04-20T20:10:00Z,2022,R,Final,Cincinnati Reds,San Diego Padres,0,6
2022-04-20,662392,2022-04-20T22:07:00Z,2022,R,Final,Baltimore Orioles,Oakland Athletics,1,0
2022-04-20,663146,2022-04-20T22:30:00Z,2022,R,Completed Early,Tampa Bay Rays,Chicago Cubs,8,2
2022-04-20,662926,2022-04-20T22:40:00Z,2022,R,Final,Los Angeles Angels,Houston Astros,6,0
2022-04-20,661404,2022-04-20T22:40:00Z,2022,R,Final,St. Louis Cardinals,Miami Marlins,2,0
2022-04-20,662861,2022-04-20T22:40:00Z,2022,R,Final,New York Yankees,Detroit Tigers,5,3
2022-04-20,662560,2022-04-20T23:05:00Z,2022,R,Final,Arizona Diamondbacks,Washington Nationals,11,2
2022-04-20,662349,2022-04-20T23:10:00Z,2022,R,Final,San Francisco Giants,New York Mets,5,2
2022-04-20,663247,2022-04-20T23:10:00Z,2022,R,Final,Toronto Blue Jays,Boston Red Sox,6,1
2022-04-20,662703,2022-04-21T00:10:00Z,2022,R,Final,Minnesota Twins,Kansas City Royals,0,2
2022-04-20,662178,2022-04-21T01:40:00Z,2022,R,Final,Texas Rangers,Seattle Mariners,2,4
2022-04-21,662593,2022-04-21T17:10:00Z,2022,R,Final,San Francisco Giants,New York Mets,2,6
2022-04-21,663093,2022-04-21T17:10:00Z,2022,R,Final,Chicago White Sox,Cleveland Guardians,3,6
2022-04-21,662850,2022-04-21T17:10:00Z,2022,R,Final,New York Yankees,Detroit Tigers,0,3
